Kd,SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
457.0881896,0.0321,0.637168142,0.152777778,0.32,1.59,0.92,0,1.01,2.1503,2.66
301.995172,0.022140221,0.637168142,0.152777778,0.222222222,1.59,0.92,0,1.01,2.1503,2.48
380.1893963,0.022140221,0.637168142,0.152777778,0.3222,1.59,0.92,0,1.01,2.1503,2.58
1659.586907,0.068027211,0.608695652,0.071428571,0.571428571,1.59,0.92,0,1.01,2.1503,3.22
2511.886432,0.068027211,0.608695652,0.071428571,0.6714,1.59,0.92,0,1.01,2.1503,3.4
7244.359601,0.098,0.608695652,0.071428571,0.571428571,1.59,0.92,0,1.01,2.1503,3.86
20892.96131,0.098,0.608695652,0.071428571,0.6714,1.59,0.92,0,1.01,2.1503,4.32
1348.962883,0.022140221,0.637168142,0.152777778,0.222222222,2.44,0.95,0.35,1.2,2.0819,3.13
954.992586,0.022140221,0.637168142,0.152777778,0.32,2.44,0.95,0.35,1.2,2.0819,2.98
1412.537545,0.022140221,0.637168142,0.152777778,0.222222222,2.44,0.95,0.35,1.2,2.0819,3.15
1122.018454,0.022140221,0.637168142,0.152777778,0.3222,2.44,0.95,0.35,1.2,2.0819,3.05
5370.317964,0.068027211,0.608695652,0.071428571,0.571428571,2.44,0.95,0.35,1.2,2.0819,3.73
6760.829754,0.068027211,0.608695652,0.071428571,0.6714,2.44,0.95,0.35,1.2,2.0819,3.83
16982.43652,0.098,0.608695652,0.071428571,0.571428571,2.44,0.95,0.35,1.2,2.0819,4.23
524807.4602,0.098,0.608695652,0.071428571,0.6714,2.44,0.95,0.35,1.2,2.0819,5.72
147.9108388,0.022140221,0.637168142,0.152777778,0.222222222,0.97,1.08,0,0.55,2.1734,2.17
380.1893963,0.022140221,0.637168142,0.152777778,0.32,0.97,1.08,0,0.55,2.1734,2.58
95.4992586,0.022140221,0.637168142,0.152777778,0.222222222,0.97,1.08,0,0.55,2.1734,1.98
10.71519305,0.022140221,0.637168142,0.152777778,0.3222,0.97,1.08,0,0.55,2.1734,1.03
1071.519305,0.068027211,0.608695652,0.071428571,0.571428571,0.97,1.08,0,0.55,2.1734,3.03
407.3802778,0.068027211,0.608695652,0.071428571,0.6714,0.97,1.08,0,0.55,2.1734,2.61
457.0881896,0.068027211,0.608695652,0.071428571,0.571428571,0.97,1.08,0,0.55,2.1734,2.66
371.5352291,0.068027211,0.608695652,0.071428571,0.6714,0.97,1.08,0,0.55,2.1734,2.57
199.5262315,0.022140221,0.637168142,0.152777778,0.222222222,1.09,1.15,0,0.63,9.476,2.3
169.8243652,0.022140221,0.637168142,0.152777778,0.32,1.09,1.15,0,0.63,9.476,2.23
53.70317964,0.022140221,0.637168142,0.152777778,0.222222222,1.09,1.15,0,0.63,9.476,1.73
10.23292992,0.022140221,0.637168142,0.152777778,0.3222,1.09,1.15,0,0.63,9.476,1.01
380.1893963,0.068027211,0.608695652,0.071428571,0.571428571,1.09,1.15,0,0.63,9.476,2.58
234.4228815,0.068027211,0.608695652,0.071428571,0.6714,1.09,1.15,0,0.63,9.476,2.37
239.8832919,0.068027211,0.608695652,0.071428571,0.571428571,1.09,1.15,0,0.63,9.476,2.38
186.2087137,0.068027211,0.608695652,0.071428571,0.6714,1.09,1.15,0,0.63,9.476,2.27
79.43282347,0.022140221,0.637168142,0.152777778,0.222222222,1.05,1.06,0,0.68,2.3143,1.9
257.0395783,0.022140221,0.637168142,0.152777778,0.32,1.05,1.06,0,0.68,2.3143,2.41
64.5654229,0.022140221,0.637168142,0.152777778,0.222222222,1.05,1.06,0,0.68,2.3143,1.81
9.77237221,0.022140221,0.637168142,0.152777778,0.3222,1.05,1.06,0,0.68,2.3143,0.99
229.0867653,0.068027211,0.608695652,0.071428571,0.571428571,1.05,1.06,0,0.68,2.3143,2.36
162.1810097,0.068027211,0.608695652,0.071428571,0.6714,1.05,1.06,0,0.68,2.3143,2.21
138.0384265,0.068027211,0.608695652,0.071428571,0.571428571,1.05,1.06,0,0.68,2.3143,2.14
117.4897555,0.068027211,0.608695652,0.071428571,0.6714,1.05,1.06,0,0.68,2.3143,2.07
120.2264435,0.022140221,0.637168142,0.152777778,0.222222222,1.35,1.9,0,0.85,2.2077,2.08
83.17637711,0.022140221,0.637168142,0.152777778,0.32,1.35,1.9,0,0.85,2.2077,1.92
125.8925412,0.022140221,0.637168142,0.152777778,0.222222222,1.35,1.9,0,0.85,2.2077,2.1
9.54992586,0.022140221,0.637168142,0.152777778,0.3222,1.35,1.9,0,0.85,2.2077,0.98
831.7637711,0.068027211,0.608695652,0.071428571,0.571428571,1.35,1.9,0,0.85,2.2077,2.92
741.3102413,0.068027211,0.608695652,0.071428571,0.6714,1.35,1.9,0,0.85,2.2077,2.87
676.0829754,0.068027211,0.608695652,0.071428571,0.571428571,1.35,1.9,0,0.85,2.2077,2.83
645.654229,0.068027211,0.608695652,0.071428571,0.6714,1.35,1.9,0,0.85,2.2077,2.81
11965,0.6,0.923076923,0.083333333,1.04E-07,1.34,0.92,0,0.2,1.0854,4.077912703
6047,0.6,0.923076923,0.083333333,1.04E-07,1.67,1.26,0.2,0.57,1.1852,3.781539969
11640,0.6,0.923076923,0.083333333,1.04E-07,1.34,10.94,0,0.22,1.2263,4.06595298
8394,0.6,0.923076923,0.083333333,1.04E-07,1.46,1.2,0.65,0.49,1.3007,3.923968965
6350,0.6,0.923076923,0.083333333,1.04E-07,1.52,1.05,0.61,0.37,1.1441,3.802773725
9351,0.6,0.72972973,0.074074074,0.296296296,1.34,0.92,0,0.2,1.0854,3.970858057
6321,0.6,0.72972973,0.074074074,0.296296296,1.67,1.26,0.2,0.57,1.1852,3.80078579
9974,0.6,0.72972973,0.074074074,0.296296296,1.34,10.94,0,0.22,1.2263,3.998869364
4536,0.6,0.72972973,0.074074074,0.296296296,1.46,1.2,0.65,0.49,1.3007,3.656673046
4551,0.6,0.72972973,0.074074074,0.296296296,1.52,1.05,0.61,0.37,1.1441,3.658106836
904.3,0.041666667,0.857142857,0.166666667,4.17E-07,1.16,1.11,0,1.14,2.5629,2.956312531
977.5,0.044444444,0.857142857,0.166666667,2.78E-07,1.16,1.11,0,1.14,2.5629,2.990116766
133.65,0.000334448,0.384,0.125,4.17E-07,1.16,1.11,0,1.14,2.5629,2.125968963
4823.529412,6.91,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,3.683364931
1223.880597,2.35,0.923076923,0.083333333,1.04E-07,2.81,1.71,0,0.28,1.5846,3.08773905
763.1578947,1.87,0.384,0.125,4.17E-07,2.81,1.71,0,0.28,1.5846,2.882614401
616,1.0159,0.857142857,0.166666667,4.17E-07,2.75,1.82,0.82,0.36,2.5643,2.789580712
993,0.2218,0.857142857,0.166666667,2.78E-07,2.75,1.82,0.82,0.36,2.5643,2.996949248
2263,1.9241,0.923076923,0.083333333,1.04E-07,2.75,1.82,0.82,0.36,2.5643,3.354684554
5814,2.6334,0.384,0.125,4.17E-07,2.75,1.82,0.82,0.36,2.5643,3.764475027
174,0.418,0.857142857,0.166666667,2.78E-07,1.54,1.45,0.24,1.44,2.4113,2.240549248
11.08,0.0004,0.857142857,0.166666667,4.17E-07,2.32,1.41,0,0.26,2.0829,1.04453976
11.95,0.0004,0.857142857,0.166666667,2.78E-07,2.32,1.41,0,0.26,2.0829,1.077367905
13.67,0.0017,0.637168142,0.152777778,0.222222222,2.32,1.41,0,0.26,2.0829,1.135768515
14.31,0.0054,0.923076923,0.083333333,1.04E-07,2.32,1.41,0,0.26,2.0829,1.155639634
133.9,0.223214286,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.126780577
120.1,0.130208333,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.079543007
117.9,0.083333333,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.071513805
108.9,0.025,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.03702788
133.5,0.223214286,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.125481266
121,0.130208333,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.08278537
108.6,0.025,0.857142857,0.166666667,4.17E-07,2.78,2.8,0.01,2.54,2.5043,2.035829825
700,0.138888889,0.857142857,0.166666667,4.17E-07,1.89,2.23,0.58,1.29,1.7244,2.84509804
3330,0.138888889,0.857142857,0.166666667,4.17E-07,1.83,1.5,0.1,0.82,2.2647,3.522444234
38.7,0.48,0.637168142,0.152777778,0.222222222,2.13,2.53,0.59,1.53,2.0043,1.587710965
23.5,0.231,0.857142857,0.166666667,4.17E-07,2.13,2.53,0.59,1.53,2.0043,1.371067862
15.1,0.314,0.857142857,0.166666667,2.78E-07,2.13,2.53,0.59,1.53,2.0043,1.178976947
21,0.584,0.923076923,0.083333333,1.04E-07,2.13,2.53,0.59,1.53,2.0043,1.322219295
18.6,0.842,0.384,0.125,4.17E-07,2.13,2.53,0.59,1.53,2.0043,1.269512944
8.053784412,35.286,0.923076923,0.083333333,0.08,3.5,3.6,1.35,3.29,3.0992,0.906
9.332543008,36.36,0.923076923,0.083333333,0.11,3.5,3.6,1.35,3.29,3.0992,0.97
12.02264435,41.342,0.923076923,0.083333333,0.14,3.5,3.6,1.35,3.29,3.0992,1.08
13.48962883,49.561,0.923076923,0.083333333,0.17,3.5,3.6,1.35,3.29,3.0992,1.13
916.6666667,2.8191,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,2.962211439
1283.58209,2.8191,0.857142857,0.166666667,4.17E-07,1.34,0.94,0,0.22,1.2263,3.108423649
587.1886121,2.8191,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,2.768777624
756.9892473,2.8191,0.857142857,0.166666667,4.17E-07,1.34,0.94,0,0.22,1.2263,2.879089711
234.8484848,2.8191,0.857142857,0.166666667,4.17E-07,1.52,1.05,0.61,0.37,1.1441,2.370787763
166.6666667,0.401,0.882352941,0.133333333,0.0917,3.6,4.02,2.03,3.28,3.2216,2.22184875
250,3.85,0.882352941,0.133333333,0.1586,2.83,2.74,1.42,2.7,2.5356,2.397940009
86.95652174,0.287,0.857142857,0.166666667,0.0501,3.6,4.02,2.03,3.28,3.2216,1.93930216
142.8571429,1.12,0.857142857,0.166666667,0.0945,2.83,2.74,1.42,2.7,2.5356,2.15490196
284,0.044280443,0.637168142,0.152777778,0.222222222,1.89,2.23,0.58,1.29,1.7244,2.45331834
30,0.05,0.857142857,0.166666667,4.17E-07,1.89,2.23,0.58,1.29,1.7244,1.477121255
22.2,0.034782609,0.625,0.066666667,0.533333333,1.89,2.23,0.58,1.29,1.7244,1.346352974
29.7,0.048,0.923076923,0.083333333,1.04E-07,1.89,2.23,0.58,1.29,1.7244,1.472756449
28.2,0.034782609,0.384,0.125,4.17E-07,1.89,2.23,0.58,1.29,1.7244,1.450249108
30.9,0.053333333,0.857142857,0.166666667,2.78E-07,1.89,2.23,0.58,1.29,1.7244,1.489958479
32.8,0.041666667,0.857142857,0.166666667,4.17E-07,-0.83,0.25,0.31,0.75,1.8763,1.515873844
0.1,0.024,0.923076923,0.083333333,1.04E-07,-0.83,0.25,0.31,0.75,1.8763,-1
100.5,0.018903592,0.384,0.125,4.17E-07,-0.83,0.25,0.31,0.75,1.8763,2.002166062
298.3,0.041666667,0.857142857,0.166666667,4.17E-07,-0.69,-0.13,0.51,0.72,1.9174,2.474653253
84.9,0.024,0.923076923,0.083333333,1.04E-07,-0.69,-0.13,0.51,0.72,1.9174,1.92890769
115.7,0.018903592,0.384,0.125,4.17E-07,-0.69,-0.13,0.51,0.72,1.9174,2.063333359
4.2125,11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.624539914
6.063492063,11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.782722813
4.359949303,11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.639481439
3.481609195,11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.541780021
7.704918033,28.57142857,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.886768023
5495.408739,57.14285714,0.9231,0.0833,0,1.34,0.92,0,0.2,1.0854,3.74
3235.936569,5.714285714,0.9231,0.0833,0,1.34,0.92,0,0.2,1.0854,3.51
457.0881896,2.857142857,0.9231,0.0833,0,1.34,0.92,0,0.2,1.0854,2.66
120226.4435,57.14285714,0.9231,0.0833,0,1.6,1.05,0,0.22,1.2586,5.08
21379.6209,5.714285714,0.9231,0.0833,0,1.6,1.05,0,0.22,1.2586,4.33
5370.317964,2.857142857,0.9231,0.0833,0,1.6,1.05,0,0.22,1.2586,3.73
125892.5412,57.14285714,0.9231,0.0833,0,1.59,1.06,0,0.25,1.3565,5.1
37153.52291,5.714285714,0.9231,0.0833,0,1.59,1.06,0,0.25,1.3565,4.57
8912.509381,2.857142857,0.9231,0.0833,0,1.59,1.06,0,0.25,1.3565,3.95
208929.6131,57.14285714,0.9231,0.0833,0,2.06,1.29,0,0.26,1.4544,5.32
41686.93835,5.714285714,0.9231,0.0833,0,2.06,1.29,0,0.26,1.4544,4.62
10000,2.857142857,0.9231,0.0833,0,2.06,1.29,0,0.26,1.4544,4
331131.1215,57.14285714,0.9231,0.0833,0,2.29,1.34,0,0.28,1.4544,5.52
87096.359,5.714285714,0.9231,0.0833,0,2.29,1.34,0,0.28,1.4544,4.94
21379.6209,2.857142857,0.9231,0.0833,0,2.29,1.34,0,0.28,1.4544,4.33
131825.6739,57.14285714,0.9231,0.0833,0,2.38,1.55,0,0.24,1.5846,5.12
36307.80548,5.714285714,0.9231,0.0833,0,2.38,1.55,0,0.24,1.5846,4.56
10000,2.857142857,0.9231,0.0833,0,2.38,1.55,0,0.24,1.5846,4
83176.37711,57.14285714,0.9231,0.0833,0,2.81,1.71,0,0.28,1.5846,4.92
23442.28815,5.714285714,0.9231,0.0833,0,2.81,1.71,0,0.28,1.5846,4.37
6456.54229,2.857142857,0.9231,0.0833,0,2.81,1.71,0,0.28,1.5846,3.81
616595.0019,57.14285714,0.9231,0.0833,0,1.46,1.12,0,0.24,1.4466,5.79
95499.2586,5.714285714,0.9231,0.0833,0,1.46,1.12,0,0.24,1.4466,4.98
36307.80548,2.857142857,0.9231,0.0833,0,1.46,1.12,0,0.24,1.4466,4.56
2089296.131,57.14285714,0.9231,0.0833,0,1.46,1.15,0,0.23,1.4466,6.32
346736.8505,5.714285714,0.9231,0.0833,0,1.46,1.15,0,0.23,1.4466,5.54
141253.7545,2.857142857,0.9231,0.0833,0,1.46,1.15,0,0.23,1.4466,5.15
1348962.883,57.14285714,0.9231,0.0833,0,1.61,1.3,0,0.2,1.569,6.13
229086.7653,5.714285714,0.9231,0.0833,0,1.61,1.3,0,0.2,1.569,5.36
93325.43008,2.857142857,0.9231,0.0833,0,1.61,1.3,0,0.2,1.569,4.97
3630780.548,57.14285714,0.9231,0.0833,0,1.67,1.23,0,0.19,1.569,6.56
588843.6554,5.714285714,0.9231,0.0833,0,1.67,1.23,0,0.19,1.569,5.77
251188.6432,2.857142857,0.9231,0.0833,0,1.67,1.23,0,0.19,1.569,5.4
416869.3835,57.14285714,0.9231,0.0833,0,1.75,1.36,0,0.17,1.6914,5.62
141253.7545,5.714285714,0.9231,0.0833,0,1.75,1.36,0,0.17,1.6914,5.15
66069.3448,2.857142857,0.9231,0.0833,0,1.75,1.36,0,0.17,1.6914,4.82
891250.9381,57.14285714,0.9231,0.0833,0,1.93,1.39,0,0.15,1.8138,5.95
102329.2992,5.714285714,0.9231,0.0833,0,1.93,1.39,0,0.15,1.8138,5.01
52480.74602,2.857142857,0.9231,0.0833,0,1.93,1.39,0,0.15,1.8138,4.72
1202264.435,57.14285714,0.9231,0.0833,0,1.33,0.92,0.06,0,1.3284,6.08
218776.1624,5.714285714,0.9231,0.0833,0,1.33,0.92,0.06,0,1.3284,5.34
85113.80382,2.857142857,0.9231,0.0833,0,1.33,0.92,0.06,0,1.3284,4.93
630957.3445,57.14285714,0.9231,0.0833,0,1.49,0.99,0,0,1.4508,5.8
138038.4265,5.714285714,0.9231,0.0833,0,1.49,0.99,0,0,1.4508,5.14
61659.50019,2.857142857,0.9231,0.0833,0,1.49,0.99,0,0,1.4508,4.79
5011872.336,57.14285714,0.9231,0.0833,0,2.17,1.83,0,0.1,2.0586,6.7
724435.9601,5.714285714,0.9231,0.0833,0,2.17,1.83,0,0.1,2.0586,5.86
281838.2931,2.857142857,0.9231,0.0833,0,2.17,1.83,0,0.1,2.0586,5.45
218776162.4,57.14285714,0.9231,0.0833,0,2.45,1.85,0,0.08,2.3034,8.34
32359365.69,5.714285714,0.9231,0.0833,0,2.45,1.85,0,0.08,2.3034,7.51
19054607.18,2.857142857,0.9231,0.0833,0,2.45,1.85,0,0.08,2.3034,7.28
23442288.15,57.14285714,0.9231,0.0833,0,2.59,2,0,0.06,2.4258,7.37
3890451.45,5.714285714,0.9231,0.0833,0,2.59,2,0,0.06,2.4258,6.59
2454708.916,2.857142857,0.9231,0.0833,0,2.59,2,0,0.06,2.4258,6.39
1000,71.42857143,0.9231,0.0833,0,2.81,1.71,0,0.28,1.5846,3
1428.571429,71.42857143,0.9231,0.0833,0,2.32,1.41,0,0.26,2.0829,3.15490196
1.25,71.42857143,0.9231,0.0833,0,1.61,1.56,0.99,0.91,1.8643,0.096910013
200,71.42857143,0.9231,0.0833,0,1.56,1.78,1.06,0.66,1.5825,2.301029996
1250,71.42857143,0.9231,0.0833,0,0.77,0.88,0.55,0.36,2.0432,3.096910013
10,833,0.9231,0.0833,0,2.38,1.55,0,0.24,1.5846,1
100,877,0.8571,0.1667,0,2.38,1.55,0,0.24,1.5846,2
1.5,85,0.8571,0.1667,0,2.38,1.55,0,0.24,1.5846,0.176091259
5,833,0.9231,0.0833,0,2.06,1.29,0,0.26,1.4544,0.698970004
6.666666667,877,0.8571,0.1667,0,2.06,1.29,0,0.26,1.4544,0.823908741
1.25,85,0.8571,0.1667,0,2.06,1.29,0,0.26,1.4544,0.096910013
3.142857143,85.63,0.9231,0.0833,0,1.98,2.5,0.05,2.39,2.2724,0.497324641
5.977011494,19.48,0.9231,0.0833,0.044,1.98,2.5,0.05,2.39,2.2724,0.776484091
2.222222222,85.63,0.9231,0.0833,0,2.39,2.76,0.46,2.28,2.5043,0.346787486
4.019607843,19.48,0.9231,0.0833,0.044,2.39,2.76,0.46,2.28,2.5043,0.604183685
0.081818182,0.077220077,0.9231,0.0833,0,2.2,2.34,0.7,2.52,2.3047,-1.087150175
0.086666667,4.285714286,0.384,0.125,0,2.2,2.34,0.7,2.52,2.3047,-1.062147905
0.118181818,0.057915058,0.384,0.125,0,2.2,2.34,0.7,2.52,2.3047,-0.927449334
0.071428571,142.8571429,0.9809,0.083333333,0.019471914,2.2,2.34,0.7,2.52,2.3047,-1.146128038
133.3333333,7.419,0.958,0.083333333,0.044,2.81,1.71,0,0.28,1.5846,2.124938736
11.11111111,7.419,0.958,0.083333333,0.044,0.77,0.88,0.55,0.36,2.0432,1.045757491
8.75,0.84,0.923076923,0.085,0.044,2.81,1.71,0,0.28,1.5846,0.942008053
35,2.82,0.384,0.113,0.062,2.81,1.71,0,0.28,1.5846,1.544068044
23.33333333,1.08,0.625,0.069,0.283,2.81,1.71,0,0.28,1.5846,1.367976785
16.66666667,0.65,0.857142857,0.14,0.036,2.81,1.71,0,0.28,1.5846,1.22184875
80,0.31,0.591240876,0.126,0.37,2.81,1.71,0,0.28,1.5846,1.903089987
42.5,0.98,0.857142857,0.152,0.01,2.81,1.71,0,0.28,1.5846,1.62838893
2.25,0.84,0.923076923,0.085,0.044,0.77,0.88,0.55,0.36,2.0432,0.352182518
3.333333333,2.82,0.384,0.113,0.062,0.77,0.88,0.55,0.36,2.0432,0.522878745
3.333333333,1.08,0.625,0.069,0.283,0.77,0.88,0.55,0.36,2.0432,0.522878745
2.5,0.65,0.857142857,0.14,0.036,0.77,0.88,0.55,0.36,2.0432,0.397940009
30,0.31,0.591240876,0.126,0.37,0.77,0.88,0.55,0.36,2.0432,1.477121255
2.25,0.98,0.857142857,0.152,0.01,0.77,0.88,0.55,0.36,2.0432,0.352182518
